Client IP Address: 127.0.0.1, Port: 52058, Value: 0, Factorial: 1
Client IP Address: 127.0.0.1, Port: 52058, Value: 0, Factorial: 1
Client IP Address: 127.0.0.1, Port: 52060, Value: 0, Factorial: 1
Client IP Address: 127.0.0.1, Port: 52076, Value: 0, Factorial: 1
Client IP Address: 127.0.0.1, Port: 52082, Value: 0, Factorial: 1
Client IP Address: 127.0.0.1, Port: 52084, Value: 0, Factorial: 1
Client IP Address: 127.0.0.1, Port: 52088, Value: 0, Factorial: 1
Client IP Address: 127.0.0.1, Port: 52100, Value: 0, Factorial: 1
Client IP Address: 127.0.0.1, Port: 52112, Value: 0, Factorial: 1
Client IP Address: 127.0.0.1, Port: 52126, Value: 0, Factorial: 1
Client IP Address: 127.0.0.1, Port: 52138, Value: 0, Factorial: 1
Client IP Address: 127.0.0.1, Port: 52150, Value: 0, Factorial: 1
Client IP Address: 127.0.0.1, Port: 52160, Value: 0, Factorial: 1
Client IP Address: 127.0.0.1, Port: 52176, Value: 0, Factorial: 1
Client IP Address: 127.0.0.1, Port: 52190, Value: 0, Factorial: 1
Client IP Address: 127.0.0.1, Port: 52194, Value: 0, Factorial: 1
Client IP Address: 127.0.0.1, Port: 52208, Value: 0, Factorial: 1
Client IP Address: 127.0.0.1, Port: 52218, Value: 0, Factorial: 1
Client IP Address: 127.0.0.1, Port: 52232, Value: 0, Factorial: 1
Client IP Address: 127.0.0.1, Port: 52236, Value: 0, Factorial: 1
Client IP Address: 127.0.0.1, Port: 52238, Value: 0, Factorial: 1
Client IP Address: 127.0.0.1, Port: 52242, Value: 0, Factorial: 1
Client IP Address: 127.0.0.1, Port: 52256, Value: 0, Factorial: 1
Client IP Address: 127.0.0.1, Port: 52258, Value: 0, Factorial: 1
Client IP Address: 127.0.0.1, Port: 52268, Value: 0, Factorial: 1
Client IP Address: 127.0.0.1, Port: 52270, Value: 0, Factorial: 1
Client IP Address: 127.0.0.1, Port: 52274, Value: 0, Factorial: 1
Client IP Address: 127.0.0.1, Port: 52276, Value: 0, Factorial: 1
Client IP Address: 127.0.0.1, Port: 52288, Value: 0, Factorial: 1
Client IP Address: 127.0.0.1, Port: 52302, Value: 0, Factorial: 1
Client IP Address: 127.0.0.1, Port: 52312, Value: 0, Factorial: 1
Client IP Address: 127.0.0.1, Port: 52324, Value: 0, Factorial: 1
Client IP Address: 127.0.0.1, Port: 52336, Value: 0, Factorial: 1
Client IP Address: 127.0.0.1, Port: 52346, Value: 0, Factorial: 1
Client IP Address: 127.0.0.1, Port: 52350, Value: 0, Factorial: 1
Client IP Address: 127.0.0.1, Port: 52366, Value: 0, Factorial: 1
Client IP Address: 127.0.0.1, Port: 52368, Value: 0, Factorial: 1
Client IP Address: 127.0.0.1, Port: 52384, Value: 0, Factorial: 1
Client IP Address: 127.0.0.1, Port: 52398, Value: 0, Factorial: 1
Client IP Address: 127.0.0.1, Port: 52408, Value: 0, Factorial: 1
Client IP Address: 127.0.0.1, Port: 52410, Value: 0, Factorial: 1
Client IP Address: 127.0.0.1, Port: 52414, Value: 0, Factorial: 1
Client IP Address: 127.0.0.1, Port: 52418, Value: 0, Factorial: 1
Client IP Address: 127.0.0.1, Port: 52420, Value: 0, Factorial: 1
Client IP Address: 127.0.0.1, Port: 52434, Value: 0, Factorial: 1
Client IP Address: 127.0.0.1, Port: 52448, Value: 0, Factorial: 1
Client IP Address: 127.0.0.1, Port: 52462, Value: 0, Factorial: 1
Client IP Address: 127.0.0.1, Port: 52466, Value: 0, Factorial: 1
Client IP Address: 127.0.0.1, Port: 52476, Value: 0, Factorial: 1
Client IP Address: 127.0.0.1, Port: 52480, Value: 0, Factorial: 1
Client IP Address: 127.0.0.1, Port: 52490, Value: 0, Factorial: 1
Client IP Address: 127.0.0.1, Port: 52500, Value: 0, Factorial: 1
Client IP Address: 127.0.0.1, Port: 52516, Value: 0, Factorial: 1
Client IP Address: 127.0.0.1, Port: 52524, Value: 0, Factorial: 1
Client IP Address: 127.0.0.1, Port: 52538, Value: 0, Factorial: 1
Client IP Address: 127.0.0.1, Port: 52554, Value: 0, Factorial: 1
Client IP Address: 127.0.0.1, Port: 52570, Value: 0, Factorial: 1
Client IP Address: 127.0.0.1, Port: 52060, Value: 0, Factorial: 1
Client IP Address: 127.0.0.1, Port: 52076, Value: 0, Factorial: 1
Client IP Address: 127.0.0.1, Port: 52082, Value: 0, Factorial: 1
Client IP Address: 127.0.0.1, Port: 52084, Value: 0, Factorial: 1
Client IP Address: 127.0.0.1, Port: 52088, Value: 0, Factorial: 1
Client IP Address: 127.0.0.1, Port: 52100, Value: 0, Factorial: 1
Client IP Address: 127.0.0.1, Port: 52112, Value: 0, Factorial: 1
Client IP Address: 127.0.0.1, Port: 52126, Value: 0, Factorial: 1
Client IP Address: 127.0.0.1, Port: 52138, Value: 0, Factorial: 1
Client IP Address: 127.0.0.1, Port: 52150, Value: 0, Factorial: 1
Client IP Address: 127.0.0.1, Port: 52160, Value: 0, Factorial: 1
Client IP Address: 127.0.0.1, Port: 52176, Value: 0, Factorial: 1
Client IP Address: 127.0.0.1, Port: 52190, Value: 0, Factorial: 1
Client IP Address: 127.0.0.1, Port: 52194, Value: 0, Factorial: 1
Client IP Address: 127.0.0.1, Port: 52208, Value: 0, Factorial: 1
Client IP Address: 127.0.0.1, Port: 52218, Value: 0, Factorial: 1
Client IP Address: 127.0.0.1, Port: 52232, Value: 0, Factorial: 1
Client IP Address: 127.0.0.1, Port: 52236, Value: 0, Factorial: 1
Client IP Address: 127.0.0.1, Port: 52238, Value: 0, Factorial: 1
Client IP Address: 127.0.0.1, Port: 52242, Value: 0, Factorial: 1
Client IP Address: 127.0.0.1, Port: 52256, Value: 0, Factorial: 1
Client IP Address: 127.0.0.1, Port: 52258, Value: 0, Factorial: 1
Client IP Address: 127.0.0.1, Port: 52268, Value: 0, Factorial: 1
Client IP Address: 127.0.0.1, Port: 52270, Value: 0, Factorial: 1
Client IP Address: 127.0.0.1, Port: 52274, Value: 0, Factorial: 1
Client IP Address: 127.0.0.1, Port: 52276, Value: 0, Factorial: 1
Client IP Address: 127.0.0.1, Port: 52288, Value: 0, Factorial: 1
Client IP Address: 127.0.0.1, Port: 52302, Value: 0, Factorial: 1
Client IP Address: 127.0.0.1, Port: 52312, Value: 0, Factorial: 1
Client IP Address: 127.0.0.1, Port: 52324, Value: 0, Factorial: 1
Client IP Address: 127.0.0.1, Port: 52336, Value: 0, Factorial: 1
Client IP Address: 127.0.0.1, Port: 52346, Value: 0, Factorial: 1
Client IP Address: 127.0.0.1, Port: 52350, Value: 0, Factorial: 1
Client IP Address: 127.0.0.1, Port: 52366, Value: 0, Factorial: 1
Client IP Address: 127.0.0.1, Port: 52368, Value: 0, Factorial: 1
Client IP Address: 127.0.0.1, Port: 52384, Value: 0, Factorial: 1
Client IP Address: 127.0.0.1, Port: 52398, Value: 0, Factorial: 1
Client IP Address: 127.0.0.1, Port: 52408, Value: 0, Factorial: 1
Client IP Address: 127.0.0.1, Port: 52410, Value: 0, Factorial: 1
Client IP Address: 127.0.0.1, Port: 52414, Value: 0, Factorial: 1
Client IP Address: 127.0.0.1, Port: 52418, Value: 0, Factorial: 1
Client IP Address: 127.0.0.1, Port: 52420, Value: 0, Factorial: 1
Client IP Address: 127.0.0.1, Port: 52434, Value: 0, Factorial: 1
Client IP Address: 127.0.0.1, Port: 52448, Value: 0, Factorial: 1
Client IP Address: 127.0.0.1, Port: 52462, Value: 0, Factorial: 1
Client IP Address: 127.0.0.1, Port: 52466, Value: 0, Factorial: 1
Client IP Address: 127.0.0.1, Port: 52476, Value: 0, Factorial: 1
